clascher,no,yes,no,2,1,2016-07-13 12:00:37
scarrasco27541,yes,no,no,8,2,2016-07-13 12:03:51
kmoney9,yes,yes,yes,1,3,2016-07-13 12:04:47
johnrmullan,Yes,No,No,3,2,2016-07-13 12:05:38
